# Enlitens AI Processing Log Snapshot - October 29, 2025
# Source: /home/antons-gs/enlitens-ai/logs/logs/enlitens_complete_processing.log
# Total log lines: 48,612 | October 29 entries: 8,668
# Last updated: October 29, 2025 13:21

# === Initial Setup (from start of log) ===
2025-10-29 10:51:13,117 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:51:34,094 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:51:34,094 - src.synthesis.ollama_client - INFO - Generated response length: 1358 characters
2025-10-29 10:51:34,094 - src.synthesis.ollama_client - WARNING - Response may be truncated - generation not complete
2025-10-29 10:51:34,094 - src.synthesis.ollama_client - WARNING - LLM response incomplete (num_predict=6144); retrying with num_predict=8192
2025-10-29 10:51:34,095 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:51:50,597 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:51:50,597 - src.synthesis.ollama_client - INFO - Generated response length: 892 characters
2025-10-29 10:51:50,597 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - WARNING - All 6 list fields are empty - may indicate poor LLM output
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - WARNING - Attempt 3 failed: All list fields are empty - no content generated
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - ERROR - All 3 attempts failed for structured generation
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - ERROR - Final error: All list fields are empty - no content generated
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - ERROR - Full LLM response on final attempt:
{"role": "assistant", "content": "Okay, let's tackle this query. The user wants me to generate website copy for Enlitens, a neuroscience-based therapy practice in St. Louis, targeting people frustrated with traditional therapy. The user is Liz Wooten, so I need to write in her voice—direct, authentic, compelling. The goals are to convert visitors into clients by addressing their frustrations, showing understanding, presenting neuroscience as the solution, building trust, and addressing objections. The context mentions clients feeling misunderstood, having treatment-resistant conditions, wanting practical help, and being skeptical of one-size-fits-all approaches. The clinical data is empty, so I can't reference specific studies, but I can mention evidence-based methods. The sections to cover are About, Features, Benefits, Testimonials, FAQs, and Services. Let's start with the "

}
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:51:50,598 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:55:50,433 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:55:50,433 - src.synthesis.ollama_client - INFO - Generated response length: 12449 characters
2025-10-29 10:55:50,433 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:55:50,433 - src.synthesis.ollama_client - WARNING - Attempt 1 failed: 1 validation error for BlogContent
statistics
  Input should be a valid list [type=list_type, input_value={'ADHD': 'Over 80% of chi...raditional approaches.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
2025-10-29 10:55:50,433 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.6
2025-10-29 10:55:50,433 - src.synthesis.ollama_client - INFO - Attempt 2/3 for structured generation
2025-10-29 10:55:50,433 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:55:51,832 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:55:51,832 - src.synthesis.ollama_client - INFO - Generated response length: 55 characters
2025-10-29 10:55:51,832 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:55:51,833 - src.synthesis.ollama_client - WARNING - All 8 list fields are empty - may indicate poor LLM output
2025-10-29 10:55:51,833 - src.synthesis.ollama_client - WARNING - Attempt 2 failed: All list fields are empty - no content generated
2025-10-29 10:55:51,833 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.7
2025-10-29 10:55:51,833 - src.synthesis.ollama_client - INFO - Attempt 3/3 for structured generation
2025-10-29 10:55:51,833 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:55:52,124 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - INFO - Generated response length: 2 characters
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - WARNING - All 8 list fields are empty - may indicate poor LLM output
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - WARNING - Attempt 3 failed: All list fields are empty - no content generated
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - ERROR - All 3 attempts failed for structured generation
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - ERROR - Final error: All list fields are empty - no content generated
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - ERROR - Full LLM response on final attempt:
{}
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:55:52,125 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:56:03,199 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - INFO - Generated response length: 548 characters
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - WARNING - All 8 list fields are empty - may indicate poor LLM output
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - WARNING - Attempt 1 failed: All list fields are empty - no content generated
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.7
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - INFO - Attempt 2/3 for structured generation
2025-10-29 10:56:03,200 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:57:44,787 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:57:44,787 - src.synthesis.ollama_client - INFO - Generated response length: 4312 characters
2025-10-29 10:57:44,788 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:57:44,788 - src.synthesis.ollama_client - WARNING - Attempt 2 failed: 24 validation errors for SocialMediaContent
post_ideas.0
  Input should be a valid string [type=string_type, input_value={'title': 'Midweek Mental...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
post_ideas.1
  Input should be a valid string [type=string_type, input_value={'title': 'St. Louis Stro... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
post_ideas.2
  Input should be a valid string [type=string_type, input_value={'title': 'Neuroscience M...", 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
captions.0
  Input should be a valid string [type=string_type, input_value={'text': "You're not brok...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
captions.1
  Input should be a valid string [type=string_type, input_value={'text': "Feeling stuck? ... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
captions.2
  Input should be a valid string [type=string_type, input_value={'text': 'Your brain is a...', 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
quotes.0
  Input should be a valid string [type=string_type, input_value={'text': "Healing isn't a...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
quotes.1
  Input should be a valid string [type=string_type, input_value={'text': 'Your brain is p... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
quotes.2
  Input should be a valid string [type=string_type, input_value={'text': "We're not just ...', 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
hashtags.0
  Input should be a valid string [type=string_type, input_value={'tag': '#StLouisMentalHe...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
hashtags.1
  Input should be a valid string [type=string_type, input_value={'tag': '#MissouriHealing... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
hashtags.2
  Input should be a valid string [type=string_type, input_value={'tag': '#RebelMentalHeal...', 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
story_ideas.0
  Input should be a valid string [type=string_type, input_value={'title': 'A Day in My Li...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
story_ideas.1
  Input should be a valid string [type=string_type, input_value={'title': 'Client Spotlig... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
story_ideas.2
  Input should be a valid string [type=string_type, input_value={'title': 'Your Questions...', 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
reel_ideas.0
  Input should be a valid string [type=string_type, input_value={'title': '5-Minute Stres...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
reel_ideas.1
  Input should be a valid string [type=string_type, input_value={'title': 'Neuroscience i...', 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
reel_ideas.2
  Input should be a valid string [type=string_type, input_value={'title': 'Mind Over Matt... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
carousel_content.0
  Input should be a valid string [type=string_type, input_value={'title': 'The 5 Pillars ...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
carousel_content.1
  Input should be a valid string [type=string_type, input_value={'title': 'Your Brain on ... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
carousel_content.2
  Input should be a valid string [type=string_type, input_value={'title': 'St. Louis Ment...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
poll_questions.0
  Input should be a valid string [type=string_type, input_value={'question': "What's your...'platform': 'Instagram'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
poll_questions.1
  Input should be a valid string [type=string_type, input_value={'question': 'How do you ... 'platform': 'Facebook'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
poll_questions.2
  Input should be a valid string [type=string_type, input_value={'question': "What's one ...], 'platform': 'TikTok'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
2025-10-29 10:57:44,788 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.7999999999999999
2025-10-29 10:57:44,788 - src.synthesis.ollama_client - INFO - Attempt 3/3 for structured generation
2025-10-29 10:57:44,788 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:57:46,461 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - INFO - Generated response length: 84 characters
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - WARNING - All 8 list fields are empty - may indicate poor LLM output
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - WARNING - Attempt 3 failed: All list fields are empty - no content generated
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - ERROR - All 3 attempts failed for structured generation
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - ERROR - Final error: All list fields are empty - no content generated
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - ERROR - Full LLM response on final attempt:
{"error": "Clinical data required. Please provide clinical data before proceeding."}
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:57:46,462 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:57:50,143 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:57:50,143 - src.synthesis.ollama_client - INFO - Generated response length: 180 characters
2025-10-29 10:57:50,143 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:57:50,143 - src.synthesis.ollama_client - WARNING - All 7 list fields are empty - may indicate poor LLM output
2025-10-29 10:57:50,143 - src.synthesis.ollama_client - WARNING - Attempt 1 failed: All list fields are empty - no content generated
2025-10-29 10:57:50,143 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.7
2025-10-29 10:57:50,143 - src.synthesis.ollama_client - INFO - Attempt 2/3 for structured generation
2025-10-29 10:57:50,144 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:57:50,420 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:57:50,420 - src.synthesis.ollama_client - INFO - Generated response length: 2 characters
2025-10-29 10:57:50,421 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:57:50,421 - src.synthesis.ollama_client - WARNING - All 7 list fields are empty - may indicate poor LLM output
2025-10-29 10:57:50,421 - src.synthesis.ollama_client - WARNING - Attempt 2 failed: All list fields are empty - no content generated
2025-10-29 10:57:50,421 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.7999999999999999
2025-10-29 10:57:50,421 - src.synthesis.ollama_client - INFO - Attempt 3/3 for structured generation
2025-10-29 10:57:50,421 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 11:00:55,778 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 11:00:55,778 - src.synthesis.ollama_client - INFO - Generated response length: 10342 characters
2025-10-29 11:00:55,779 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 11:00:55,779 - src.synthesis.ollama_client - WARNING - All 7 list fields are empty - may indicate poor LLM output
